Open,High,Low,Close,Volume,Open Time,Close Time,Crypto
118565.82093864528,118603.92157792966,116112.82911807846,116112.82911807846,656850814610.079,2025-07-31 00:00:00,2025-08-01 00:00:00,BTC
115744.99154744405,115881.73853569946,113069.93493509205,113069.93493509205,1387453947132.6726,2025-08-01 00:00:00,2025-08-02 00:00:00,BTC
113252.12450393297,113967.9839859553,112296.37899409614,112869.39781442507,1151860413754.4553,2025-08-02 00:00:00,2025-08-03 00:00:00,BTC
112572.12800035469,114398.33529134598,112572.12800035469,114319.43799119137,742820591761.7191,2025-08-03 00:00:00,2025-08-04 00:00:00,BTC
114235.10224673641,115347.8424712757,114235.10224673641,115291.2159130596,642583652871.9662,2025-08-04 00:00:00,2025-08-05 00:00:00,BTC
115030.80970246221,115030.80970246221,112866.55339857315,113954.92219768552,833003246018.2799,2025-08-05 00:00:00,2025-08-06 00:00:00,BTC
114097.76452778364,115562.50422275848,113469.76685342751,115132.54695069448,831092510490.5695,2025-08-06 00:00:00,2025-08-07 00:00:00,BTC
115013.39140866173,117596.49139855335,114334.98210264335,117596.49139855335,809099305378.1599,2025-08-07 00:00:00,2025-08-08 00:00:00,BTC
117466.18082017908,117466.18082017908,116170.27552758016,116895.02084894278,907719663214.4974,2025-08-08 00:00:00,2025-08-09 00:00:00,BTC
116686.72473635004,117533.0938367717,116397.67926922366,116566.51461542826,706038396723.81,2025-08-09 00:00:00,2025-08-10 00:00:00,BTC
116500.75461167548,119034.73953042638,116500.75461167548,119034.73953042638,787481783835.268,2025-08-10 00:00:00,2025-08-11 00:00:00,BTC
119248.44827754395,122227.46933490643,118589.49279908501,118817.45636188111,1230628782569.645,2025-08-11 00:00:00,2025-08-12 00:00:00,BTC
118726.76097608739,120016.48317663175,118378.15935892852,119999.15738034059,1187360206097.0251,2025-08-12 00:00:00,2025-08-13 00:00:00,BTC
120106.09706605313,123066.19096595528,119019.98754398024,123066.19096595528,1216444109816.1882,2025-08-13 00:00:00,2025-08-14 00:00:00,BTC
123419.33444694606,123782.08008719778,117846.8293927414,118327.47253939268,1759637226860.5,2025-08-14 00:00:00,2025-08-15 00:00:00,BTC
118387.76940297017,119160.51538435975,117000.41118669232,117805.21195916239,1401488472163.5317,2025-08-15 00:00:00,2025-08-16 00:00:00,BTC
117396.51852350791,117954.97333880374,117396.51852350791,117484.75585417039,851872155797.6309,2025-08-16 00:00:00,2025-08-17 00:00:00,BTC
117397.54362420287,118451.62072881311,117369.57653063927,118004.76868885547,494773637587.7205,2025-08-17 00:00:00,2025-08-18 00:00:00,BTC
117519.35606632655,117519.35606632655,114995.26995245655,116445.12054707026,863100591426.3575,2025-08-18 00:00:00,2025-08-19 00:00:00,BTC
116315.1187900144,116578.69611080748,112832.75554814276,113170.10811534988,974639028290.704,2025-08-19 00:00:00,2025-08-20 00:00:00,BTC
112896.32534645073,114590.45445269886,112721.52528522459,114590.45445269886,1073522596491.1019,2025-08-20 00:00:00,2025-08-21 00:00:00,BTC
114250.43172587751,114723.4072135875,112023.06158201321,112468.84756023913,872905465907.5853,2025-08-21 00:00:00,2025-08-22 00:00:00,BTC
112414.39987336512,117016.4148378404,112288.33375620782,116690.82991354102,924224675974.8562,2025-08-22 00:00:00,2025-08-23 00:00:00,BTC
116897.54178212964,116897.54178212964,114686.33732965987,115280.20647376521,1062599571979.5858,2025-08-23 00:00:00,2025-08-24 00:00:00,BTC
115359.98346714744,115431.1805844341,112217.2548926291,113414.74875838551,659448725517.8729,2025-08-24 00:00:00,2025-08-25 00:00:00,BTC
113399.54847314971,113415.23674884671,109690.83734151356,110239.01953202092,1191695815339.8723,2025-08-25 00:00:00,2025-08-26 00:00:00,BTC
110185.35443900425,111889.77042079122,109214.15345032258,111889.77042079122,1292236634694.22,2025-08-26 00:00:00,2025-08-27 00:00:00,BTC
111842.70999260596,112370.95333819998,110692.47419258242,111438.43391304565,924709622726.9402,2025-08-27 00:00:00,2025-08-28 00:00:00,BTC
111241.29264807492,113220.30581858233,111241.29264807492,112406.3705221515,887134955149.2811,2025-08-28 00:00:00,2025-08-29 00:00:00,BTC
112512.68098276858,112512.68098276858,107696.08632642716,108268.4161096884,992898868319.27,2025-08-29 00:00:00,2025-08-30 00:00:00,BTC
108335.63315175903,108853.56250612278,107689.75218525807,108541.98755698749,1054690882938.5476,2025-08-30 00:00:00,2025-08-31 00:00:00,BTC
108781.95727925687,109453.20512620649,108323.515018761,108867.78018188462,582502876109.1641,2025-08-31 00:00:00,2025-09-01 00:00:00,BTC
108253.36092385623,109681.77674236635,107414.44225002972,108482.11328514619,831130113454.4658,2025-09-01 00:00:00,2025-09-02 00:00:00,BTC
109229.01454657852,111395.0416549949,108798.9523326062,111215.73957482145,1094905721056.4276,2025-09-02 00:00:00,2025-09-03 00:00:00,BTC
111190.18209845416,112380.36963798928,110690.27811220792,111953.69701327455,1066642170443.0848,2025-09-03 00:00:00,2025-09-04 00:00:00,BTC
111751.64761020488,112072.79984901128,109497.72346906656,111490.51479289168,858015372453.765,2025-09-04 00:00:00,2025-09-05 00:00:00,BTC
110752.04142516552,113225.00021261438,110514.16200241748,110813.80860700153,1125802829101.331,2025-09-05 00:00:00,2025-09-06 00:00:00,BTC
110656.308978032,111103.49983851465,110054.77331373848,110175.25026599839,954787450611.981,2025-09-06 00:00:00,2025-09-07 00:00:00,BTC
110223.83395870344,111347.47926907448,110223.83395870344,111271.50729228156,504449422635.44824,2025-09-07 00:00:00,2025-09-08 00:00:00,BTC
111133.09269636446,112601.63757963854,110836.31395611238,112223.03656606357,709000773223.896,2025-09-08 00:00:00,2025-09-09 00:00:00,BTC
112025.12878118771,113112.94201935548,110870.22649131795,111518.10122362581,991378908789.6874,2025-09-09 00:00:00,2025-09-10 00:00:00,BTC
111521.54423183508,113935.59752053465,111023.09957073671,113935.59752053465,1142198904064.6262,2025-09-10 00:00:00,2025-09-11 00:00:00,BTC
114000.12092296442,115251.54504573994,113851.68539357337,115251.54504573994,1154531301932.8794,2025-09-11 00:00:00,2025-09-12 00:00:00,BTC
115503.16663193036,116704.71486571954,114944.79334030187,116094.98634284323,1165944181379.475,2025-09-12 00:00:00,2025-09-13 00:00:00,BTC
116160.14344594491,116299.90574103985,115342.81410658239,115914.67697398618,1009068995152.372,2025-09-13 00:00:00,2025-09-14 00:00:00,BTC
115974.8873939637,116143.86978301249,115264.81046966574,116031.2706523723,635301493778.9908,2025-09-14 00:00:00,2025-09-15 00:00:00,BTC
115278.55251586219,116552.24107354402,114696.00606119882,115299.78030175949,912687879374.8807,2025-09-15 00:00:00,2025-09-16 00:00:00,BTC
115356.68489564986,116882.78170087388,115019.09578002297,116872.96755173472,990709370205.644,2025-09-16 00:00:00,2025-09-17 00:00:00,BTC
116797.00205991932,117256.58549060355,115194.3078037463,116863.39240749434,1051677122907.5271,2025-09-17 00:00:00,2025-09-18 00:00:00,BTC
116455.94648225319,117851.18539205311,116381.22893627378,116948.58586157573,1346700641667.995,2025-09-18 00:00:00,2025-09-19 00:00:00,BTC
117169.11793707692,117447.66044572467,115157.37841901269,115650.54025838921,903206461387.4055,2025-09-19 00:00:00,2025-09-20 00:00:00,BTC
115656.94582205842,116083.2407924125,115489.18449916203,115818.25379015566,639116354786.3983,2025-09-20 00:00:00,2025-09-21 00:00:00,BTC
115722.89635080755,115849.67417839603,115369.30506735465,115584.69105357188,454676969952.20233,2025-09-21 00:00:00,2025-09-22 00:00:00,BTC
115255.84820116173,115255.84820116173,112176.15576810564,112696.45087669161,1132489521294.7534,2025-09-22 00:00:00,2025-09-23 00:00:00,BTC
112692.49699542265,113153.92698775811,111658.22948842609,112176.36741538407,1277731525038.7563,2025-09-23 00:00:00,2025-09-24 00:00:00,BTC
112002.46136592985,113874.18696407137,111715.17494390001,113360.01913291797,1138228649304.3774,2025-09-24 00:00:00,2025-09-25 00:00:00,BTC
113317.1626894919,113317.1626894919,109003.34295214499,109339.13076690925,1339580447580.8484,2025-09-25 00:00:00,2025-09-26 00:00:00,BTC
108963.53013595635,109855.69777420572,108963.53013595635,109611.1798647101,1659650528910.255,2025-09-26 00:00:00,2025-09-27 00:00:00,BTC
109710.20874667744,109710.20874667744,109303.9057184713,109617.54727774093,943713078900.5969,2025-09-27 00:00:00,2025-09-28 00:00:00,BTC
109675.14319507511,111969.62645083838,109340.75887763893,111969.62645083838,546410125996.53937,2025-09-28 00:00:00,2025-09-29 00:00:00,BTC
112142.57362752674,114335.55581555494,111656.03621546281,114199.64361291657,1117805318786.7854,2025-09-29 00:00:00,2025-09-30 00:00:00,BTC
114309.15041119447,114618.57914948085,112843.61303366242,113941.29371405822,1404219737782.7048,2025-09-30 00:00:00,2025-10-01 00:00:00,BTC
114024.22783550054,117890.1276507497,114024.22783550054,117890.1276507497,1483938024687.2195,2025-10-01 00:00:00,2025-10-02 00:00:00,BTC
118503.24451752483,120806.93107659295,118386.89339564343,120165.1470230456,1699977008616.534,2025-10-02 00:00:00,2025-10-03 00:00:00,BTC
120514.57785586915,122985.9623505026,119735.66557820702,122537.99384944742,1744391152994.4854,2025-10-03 00:00:00,2025-10-04 00:00:00,BTC
122294.92441742845,122646.32935293744,121583.68696992841,122317.15720363855,1588268615189.8313,2025-10-04 00:00:00,2025-10-05 00:00:00,BTC
122428.89063350529,125360.89741769346,122199.16741250416,123160.19781642949,1395438647490.1196,2025-10-05 00:00:00,2025-10-06 00:00:00,BTC
123506.18520027678,126079.88702928118,123377.11931871786,125071.79779861,1507067815204.825,2025-10-06 00:00:00,2025-10-07 00:00:00,BTC
124773.50823074432,125020.94913156852,120928.14693401169,121986.64658513198,1682674412127.4287,2025-10-07 00:00:00,2025-10-08 00:00:00,BTC
121518.75593575071,123966.00923012884,121275.38370398917,123282.52156046173,1793572492474.5308,2025-10-08 00:00:00,2025-10-09 00:00:00,BTC
123352.50487523204,123475.01328209444,120322.04794974093,121740.81237186604,1503000276647.8997,2025-10-09 00:00:00,2025-10-10 00:00:00,BTC
121698.03066778315,121820.11241777765,113553.46205479014,113879.7376683253,1841505488864.3188,2025-10-10 00:00:00,2025-10-11 00:00:00,BTC
113043.67586321975,113306.38533153781,110389.75589111897,111134.29648271875,4231123036801.1987,2025-10-11 00:00:00,2025-10-12 00:00:00,BTC
110655.26975977031,115481.167676035,109883.28741022735,115481.167676035,2028695017220.5269,2025-10-12 00:00:00,2025-10-13 00:00:00,BTC
115189.5714637257,115933.90325039899,114004.90391225103,115638.30336881512,2144610688906.6365,2025-10-13 00:00:00,2025-10-14 00:00:00,BTC
115222.28302116522,115222.28302116522,110735.7337032851,113253.1113223007,1842933459524.31,2025-10-14 00:00:00,2025-10-15 00:00:00,BTC
113156.56943826913,113156.56943826913,110752.26596267126,110793.48679619528,1937867672535.3162,2025-10-15 00:00:00,2025-10-16 00:00:00,BTC
110708.66960879423,111693.47908038496,107808.50597374301,107985.60383108161,1738249954440.4094,2025-10-16 00:00:00,2025-10-17 00:00:00,BTC
108168.17353436728,109181.00611204734,104777.54392041727,107016.94179918483,2274556716651.3433,2025-10-17 00:00:00,2025-10-18 00:00:00,BTC
106443.61194984635,107210.23428047558,106443.61194984635,107147.81742888642,1601828115191.9075,2025-10-18 00:00:00,2025-10-19 00:00:00,BTC
107156.00337647724,109404.69898589609,106489.79430051908,108976.71889815509,844310038557.3469,2025-10-19 00:00:00,2025-10-20 00:00:00,BTC
108655.50525004533,111427.00607037144,107984.75530202611,110836.40846709388,1352052713244.9995,2025-10-20 00:00:00,2025-10-21 00:00:00,BTC
110608.5714932665,113348.64642768126,107603.55609132143,109054.76698417134,1694765105649.1174,2025-10-21 00:00:00,2025-10-22 00:00:00,BTC
108486.10262716639,108647.44801249019,107087.57222183463,107087.57222183463,2489468035094.8633,2025-10-22 00:00:00,2025-10-23 00:00:00,BTC
107591.46050939859,111200.25221791971,107591.46050939859,109976.56229518166,1719400160229.3218,2025-10-23 00:00:00,2025-10-24 00:00:00,BTC
110048.51827291629,111455.90523406792,109988.92412004159,110995.20314850457,1280186140429.4163,2025-10-24 00:00:00,2025-10-25 00:00:00,BTC
110997.80437129698,111820.39354605979,110742.40086612821,111688.03881568028,893452840908.0013,2025-10-25 00:00:00,2025-10-26 00:00:00,BTC
111620.3093731354,114722.01666031986,111319.18877311777,114722.01666031986,673787580416.3297,2025-10-26 00:00:00,2025-10-27 00:00:00,BTC
